datasetName,substringLength,sampleSize,profileParam,useAllLanguages,af,ar,bg,bn,ca,cs,da,de,el,en,es,et,fa,fi,fr,gu,he,hi,hr,hu,id,it,ja,kn,ko,lt,lv,mk,ml,mr,ne,nl,no,pa,pl,pt,ro,ru,si,sk,sl,so,sq,sv,sw,ta,te,th,tl,tr,uk,ur,vi,zh-cn,zh-tw
wordpress-translations,5,10,short-text,false,NaN,0.802,0.438,0.972,NaN,0.476,0.338,0.366,0.964,0.336,0.332,0.338,0.802,0.468,0.438,0.95,0.962,0.984,0.408,0.548,0.33,0.336,0.92,NaN,0.922,0.378,0.462,0.624,0.962,NaN,NaN,0.376,0.246,0.99,0.558,0.31,0.502,0.518,NaN,NaN,NaN,NaN,0.516,0.272,NaN,0.968,0.976,0.952,0.488,0.524,0.442,0.696,0.828,0.832,0.732
wordpress-translations,5,10,short-text,true,NaN,0.802,0.438,0.972,0.236,0.474,0.338,0.366,0.964,0.334,0.294,0.338,0.802,0.468,0.412,0.95,0.962,0.984,0.408,0.548,0.326,0.318,0.92,NaN,0.922,0.378,0.46,0.624,0.962,NaN,NaN,0.372,0.242,0.99,0.558,0.294,0.494,0.518,0.948,NaN,NaN,NaN,0.514,0.27,NaN,0.968,0.976,0.952,0.488,0.524,0.442,0.696,0.828,0.832,0.732
wordpress-translations,10,10,,false,NaN,0.938,0.58,0.972,NaN,0.738,0.454,0.606,0.972,0.586,0.516,0.652,0.852,0.822,0.618,0.958,0.984,0.988,0.682,0.812,0.594,0.606,0.924,NaN,0.968,0.718,0.732,0.806,0.974,NaN,NaN,0.582,0.478,0.99,0.79,0.562,0.682,0.652,NaN,NaN,NaN,NaN,0.74,0.446,NaN,0.992,0.978,0.972,0.692,0.732,0.608,0.908,0.95,0.79,0.586
wordpress-translations,10,10,,true,0.526,0.938,0.58,0.972,NaN,0.594,0.44,0.554,0.972,0.562,0.51,0.62,0.852,0.804,0.608,0.956,0.984,0.836,0.514,0.806,0.562,0.604,0.924,0.978,0.968,0.71,0.72,0.806,0.974,0.722,0.8,0.42,0.468,0.99,0.77,0.558,0.68,0.652,NaN,0.54,0.532,0.818,0.734,0.442,0.58,0.992,0.978,0.97,0.662,0.724,0.608,0.908,0.95,0.79,0.586
wordpress-translations,10,10,merged-average,false,NaN,0.926,0.594,0.972,NaN,0.776,0.498,0.654,0.972,0.64,0.574,0.678,0.894,0.816,0.69,0.958,0.984,0.988,0.716,0.826,0.598,0.626,0.93,NaN,0.968,0.714,0.74,0.832,0.974,NaN,NaN,0.666,0.488,0.99,0.824,0.588,0.732,0.676,NaN,NaN,NaN,NaN,0.76,0.49,NaN,0.99,0.978,0.97,0.71,0.764,0.624,0.892,0.948,0.832,0.856
wordpress-translations,10,10,merged-average,true,0.432,0.926,0.594,0.972,0.388,0.652,0.48,0.59,0.972,0.63,0.542,0.648,0.894,0.804,0.664,0.956,0.984,0.832,0.572,0.82,0.574,0.616,0.93,0.978,0.968,0.708,0.736,0.83,0.974,0.686,0.784,0.506,0.48,0.99,0.81,0.572,0.724,0.676,0.98,0.5,0.478,0.79,0.754,0.484,0.526,0.99,0.978,0.97,0.696,0.76,0.624,0.892,0.948,0.832,0.856
wordpress-translations,10,10,short-text,false,NaN,0.914,0.632,0.97,NaN,0.786,0.506,0.65,0.968,0.612,0.608,0.668,0.892,0.792,0.696,0.956,0.978,0.988,0.694,0.804,0.542,0.602,0.924,NaN,0.964,0.672,0.73,0.786,0.968,NaN,NaN,0.666,0.474,0.99,0.816,0.514,0.776,0.684,NaN,NaN,NaN,NaN,0.734,0.502,NaN,0.986,0.978,0.962,0.678,0.756,0.616,0.88,0.946,0.83,0.886
wordpress-translations,10,10,short-text,true,NaN,0.914,0.632,0.97,0.414,0.784,0.506,0.646,0.968,0.608,0.57,0.662,0.892,0.792,0.676,0.956,0.978,0.988,0.692,0.798,0.538,0.592,0.924,NaN,0.964,0.672,0.73,0.786,0.968,NaN,NaN,0.664,0.472,0.99,0.816,0.496,0.764,0.684,0.978,NaN,NaN,NaN,0.732,0.502,NaN,0.986,0.978,0.962,0.678,0.756,0.616,0.88,0.946,0.83,0.886
wordpress-translations,20,10,,false,NaN,0.964,0.766,0.992,NaN,0.912,0.69,0.82,0.984,0.804,0.754,0.92,0.946,0.95,0.894,0.974,0.984,0.994,0.902,0.962,0.842,0.854,0.956,NaN,0.992,0.908,0.94,0.906,0.984,NaN,NaN,0.774,0.68,0.99,0.932,0.782,0.898,0.822,NaN,NaN,NaN,NaN,0.928,0.706,NaN,0.99,0.99,0.984,0.864,0.916,0.744,0.966,0.978,0.764,0.704
wordpress-translations,20,10,,true,0.762,0.964,0.766,0.992,NaN,0.818,0.672,0.79,0.984,0.792,0.75,0.912,0.946,0.95,0.886,0.974,0.984,0.956,0.77,0.962,0.826,0.85,0.956,0.994,0.992,0.904,0.94,0.906,0.984,0.832,0.876,0.606,0.67,0.99,0.926,0.78,0.892,0.822,NaN,0.758,0.778,0.934,0.926,0.7,0.81,0.99,0.99,0.984,0.852,0.916,0.744,0.966,0.978,0.764,0.704
wordpress-translations,20,10,merged-average,false,NaN,0.96,0.78,0.992,NaN,0.934,0.694,0.862,0.984,0.874,0.804,0.914,0.964,0.96,0.926,0.982,0.984,0.994,0.924,0.952,0.834,0.87,0.96,NaN,0.99,0.918,0.938,0.92,0.984,NaN,NaN,0.83,0.732,0.99,0.942,0.798,0.936,0.842,NaN,NaN,NaN,NaN,0.932,0.756,NaN,0.99,0.99,0.978,0.878,0.926,0.796,0.968,0.982,0.844,0.952
wordpress-translations,20,10,merged-average,true,0.604,0.96,0.78,0.992,0.658,0.85,0.682,0.84,0.984,0.866,0.782,0.914,0.964,0.958,0.916,0.978,0.984,0.958,0.814,0.952,0.822,0.86,0.96,0.994,0.99,0.914,0.936,0.92,0.984,0.82,0.874,0.714,0.722,0.99,0.938,0.784,0.934,0.842,0.982,0.674,0.708,0.926,0.93,0.754,0.742,0.99,0.99,0.978,0.868,0.926,0.796,0.968,0.982,0.844,0.95
wordpress-translations,20,10,short-text,false,NaN,0.948,0.802,0.984,NaN,0.928,0.688,0.89,0.978,0.832,0.804,0.882,0.962,0.954,0.926,0.976,0.98,0.994,0.928,0.944,0.752,0.85,0.964,NaN,0.964,0.914,0.944,0.866,0.976,NaN,NaN,0.8,0.74,0.99,0.936,0.722,0.95,0.832,NaN,NaN,NaN,NaN,0.928,0.766,NaN,0.986,0.988,0.966,0.842,0.918,0.818,0.966,0.98,0.842,0.986
wordpress-translations,20,10,short-text,true,NaN,0.948,0.802,0.984,0.72,0.926,0.686,0.886,0.978,0.822,0.78,0.88,0.962,0.954,0.918,0.976,0.98,0.994,0.928,0.944,0.752,0.844,0.964,NaN,0.964,0.914,0.942,0.866,0.976,NaN,NaN,0.794,0.736,0.99,0.936,0.712,0.95,0.832,0.982,NaN,NaN,NaN,0.928,0.76,NaN,0.986,0.988,0.966,0.842,0.918,0.818,0.966,0.98,0.842,0.986
